file,type,smells,frame,itCount,describeCount
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 64, 'column': 6, 'index': 2074}","  62 |       const tetherClassCount = 12;
      |      ^ Duplicate Assert
  157 |
  158 |       expect(target.classList.length, 'target - classes added').toEqual(10);
  159 |       expect(target).not.toHaveClass('tether-target');",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 160, 'column': 6, 'index': 5820}","  158 |       expect(target.classList.length, 'target - classes added').toEqual(10);
  159 |       expect(target).not.toHaveClass('tether-target');
> 160 |       expect(element).not.toHaveClass('tether-enabled');
      |      ^ Duplicate Assert
  161 |
  162 |       tether.destroy();
  163 |",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 24, 'column': 75, 'index': 664}","  22 |   describe('destroy()', () => {
  23 |     it('removes classes on destroy', () => {
> 24 |       expect(element.classList.length, 'element - only one class').toEqual(1);
     |                                                                           ^ Magic Number
  25 |       expect(target.classList.length, 'target - only one class').toEqual(1);
  26 |       const tether = new Tether({
  27 |         element: '.element',",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 25, 'column': 73, 'index': 741}","  23 |     it('removes classes on destroy', () => {
  24 |       expect(element.classList.length, 'element - only one class').toEqual(1);
> 25 |       expect(target.classList.length, 'target - only one class').toEqual(1);
     |                                                                         ^ Magic Number
  26 |       const tether = new Tether({
  27 |         element: '.element',
  28 |         target: '.target',",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 35, 'column': 81, 'index': 1021}","  33 |       tether.enable();
  34 |
> 35 |       expect(element.classList.length, 'element - tether classes added').toEqual(12);
     |                                                                                 ^ Magic Number
  36 |       expect(target.classList.length, 'target - tether classes added').toEqual(12);
  37 |
  38 |       tether.destroy();",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 36, 'column': 79, 'index': 1105}","  34 |
  35 |       expect(element.classList.length, 'element - tether classes added').toEqual(12);
> 36 |       expect(target.classList.length, 'target - tether classes added').toEqual(12);
     |                                                                               ^ Magic Number
  37 |
  38 |       tether.destroy();
  39 |",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 40, 'column': 103, 'index': 1239}","  38 |       tether.destroy();
  39 |
> 40 |       expect(element.classList.length, 'element - destroy sets classes back to initial state').toEqual(1);
     |                                                                                                       ^ Magic Number
  41 |       expect(target.classList.length, 'target - destroy sets classes back to initial state').toEqual(1);
  42 |     });
  43 |   });",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 41, 'column': 101, 'index': 1344}","  39 |
  40 |       expect(element.classList.length, 'element - destroy sets classes back to initial state').toEqual(1);
> 41 |       expect(target.classList.length, 'target - destroy sets classes back to initial state').toEqual(1);
     |                                                                                                     ^ Magic Number
  42 |     });
  43 |   });
  44 |",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 79, 'column': 75, 'index': 2829}","  77 |
  78 |     it('gets prefixed classes when classPrefix set', () => {
> 79 |       expect(element.classList.length, 'element - only one class').toEqual(1);
     |                                                                           ^ Magic Number
  80 |       expect(target.classList.length, 'target - only one class').toEqual(1);
  81 |       const tether = new Tether({
  82 |         element: '.element',",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 80, 'column': 73, 'index': 2906}","  78 |     it('gets prefixed classes when classPrefix set', () => {
  79 |       expect(element.classList.length, 'element - only one class').toEqual(1);
> 80 |       expect(target.classList.length, 'target - only one class').toEqual(1);
     |                                                                         ^ Magic Number
  81 |       const tether = new Tether({
  82 |         element: '.element',
  83 |         target: '.target',",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 91, 'column': 78, 'index': 3211}","  89 |       tether.enable();
  90 |
> 91 |       expect(element.classList.length, 'element - foo classes added').toEqual(12);
     |                                                                              ^ Magic Number
  92 |       expect(element).toHaveClass('foo-element');
  93 |       expect(element).not.toHaveClass('foo-target');
  94 |",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 95, 'column': 76, 'index': 3396}","  93 |       expect(element).not.toHaveClass('foo-target');
  94 |
> 95 |       expect(target.classList.length, 'target - foo classes added').toEqual(12);
     |                                                                            ^ Magic Number
  96 |       expect(target).toHaveClass('foo-target');
  97 |       expect(target).not.toHaveClass('foo-element');
  98 |",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 101, 'column': 103, 'index': 3631}","   99 |       tether.destroy();
  100 |
> 101 |       expect(element.classList.length, 'element - destroy sets classes back to initial state').toEqual(1);
      |                                                                                                       ^ Magic Number
  102 |       expect(target.classList.length, 'target - destroy sets classes back to initial state').toEqual(1);
  103 |     });
  104 |",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 102, 'column': 101, 'index': 3736}","  100 |
  101 |       expect(element.classList.length, 'element - destroy sets classes back to initial state').toEqual(1);
> 102 |       expect(target.classList.length, 'target - destroy sets classes back to initial state').toEqual(1);
      |                                                                                                     ^ Magic Number
  103 |     });
  104 |
  105 |     it('gets overridden classes', () => {",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 106, 'column': 75, 'index': 3866}","  104 |
  105 |     it('gets overridden classes', () => {
> 106 |       expect(element.classList.length, 'element - only one class').toEqual(1);
      |                                                                           ^ Magic Number
  107 |       expect(target.classList.length, 'target - only one class').toEqual(1);
  108 |       const tether = new Tether({
  109 |         element: '.element',",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 107, 'column': 73, 'index': 3943}","  105 |     it('gets overridden classes', () => {
  106 |       expect(element.classList.length, 'element - only one class').toEqual(1);
> 107 |       expect(target.classList.length, 'target - only one class').toEqual(1);
      |                                                                         ^ Magic Number
  108 |       const tether = new Tether({
  109 |         element: '.element',
  110 |         target: '.target',",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 121, 'column': 81, 'index': 4323}","  119 |       tether.enable();
  120 |
> 121 |       expect(element.classList.length, 'element - custom classes added').toEqual(12);
      |                                                                                 ^ Magic Number
  122 |       expect(element).toHaveClass('my-custom-class');
  123 |       expect(element).not.toHaveClass('another-one');
  124 |       expect(element).not.toHaveClass('tether-element');",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 126, 'column': 79, 'index': 4573}","  124 |       expect(element).not.toHaveClass('tether-element');
  125 |
> 126 |       expect(target.classList.length, 'target - custom classes added').toEqual(12);
      |                                                                               ^ Magic Number
  127 |       expect(target).toHaveClass('another-one');
  128 |       expect(target).not.toHaveClass('my-custom-class');
  129 |       expect(target).not.toHaveClass('tether-target');",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 133, 'column': 103, 'index': 4868}","  131 |       tether.destroy();
  132 |
> 133 |       expect(element.classList.length, 'element - destroy sets classes back to initial state').toEqual(1);
      |                                                                                                       ^ Magic Number
  134 |       expect(target.classList.length, 'target - destroy sets classes back to initial state').toEqual(1);
  135 |     });
  136 |",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 134, 'column': 101, 'index': 4973}","  132 |
  133 |       expect(element.classList.length, 'element - destroy sets classes back to initial state').toEqual(1);
> 134 |       expect(target.classList.length, 'target - destroy sets classes back to initial state').toEqual(1);
      |                                                                                                     ^ Magic Number
  135 |     });
  136 |
  137 |     it('removes classes when false', () => {",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 138, 'column': 75, 'index': 5106}","  136 |
  137 |     it('removes classes when false', () => {
> 138 |       expect(element.classList.length, 'element - only one class').toEqual(1);
      |                                                                           ^ Magic Number
  139 |       expect(target.classList.length, 'target - only one class').toEqual(1);
  140 |       const tether = new Tether({
  141 |         element: '.element',",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 139, 'column': 73, 'index': 5183}","  137 |     it('removes classes when false', () => {
  138 |       expect(element.classList.length, 'element - only one class').toEqual(1);
> 139 |       expect(target.classList.length, 'target - only one class').toEqual(1);
      |                                                                         ^ Magic Number
  140 |       const tether = new Tether({
  141 |         element: '.element',
  142 |         target: '.target',",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 154, 'column': 74, 'index': 5562}","  152 |       tether.enable();
  153 |
> 154 |       expect(element.classList.length, 'element - classes added').toEqual(10);
      |                                                                          ^ Magic Number
  155 |       expect(element).not.toHaveClass('tether-element');
  156 |       expect(element).not.toHaveClass('tether-enabled');
  157 |",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 158, 'column': 72, 'index': 5754}","  156 |       expect(element).not.toHaveClass('tether-enabled');
  157 |
> 158 |       expect(target.classList.length, 'target - classes added').toEqual(10);
      |                                                                        ^ Magic Number
  159 |       expect(target).not.toHaveClass('tether-target');
  160 |       expect(element).not.toHaveClass('tether-enabled');
  161 |",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 164, 'column': 103, 'index': 6000}","  162 |       tether.destroy();
  163 |
> 164 |       expect(element.classList.length, 'element - destroy sets classes back to initial state').toEqual(1);
      |                                                                                                       ^ Magic Number
  165 |       expect(target.classList.length, 'target - destroy sets classes back to initial state').toEqual(1);
  166 |     });
  167 |   });",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 165, 'column': 101, 'index': 6105}","  163 |
  164 |       expect(element.classList.length, 'element - destroy sets classes back to initial state').toEqual(1);
> 165 |       expect(target.classList.length, 'target - destroy sets classes back to initial state').toEqual(1);
      |                                                                                                     ^ Magic Number
  166 |     });
  167 |   });
  168 | });",,
/home/gabriel/Desktop/research/projects/tether/test/unit/evented.spec.js,Magic Number,"{'line': 52, 'column': 84, 'index': 1698}","  50 |       const handler = () => {};
  51 |       testEvent.on('testOn', handler);
> 52 |       expect(testEvent.bindings.testOn.length, '2 event listeners for testOn').toBe(2);
     |                                                                                    ^ Magic Number
  53 |       testEvent.off('testOn', handler);
  54 |       expect(testEvent.bindings.testOn.length, '1 event listener for testOn').toBe(1);
  55 |     });",,
/home/gabriel/Desktop/research/projects/tether/test/unit/evented.spec.js,Magic Number,"{'line': 54, 'column': 83, 'index': 1825}","  52 |       expect(testEvent.bindings.testOn.length, '2 event listeners for testOn').toBe(2);
  53 |       testEvent.off('testOn', handler);
> 54 |       expect(testEvent.bindings.testOn.length, '1 event listener for testOn').toBe(1);
     |                                                                                   ^ Magic Number
  55 |     });
  56 |
  57 |     it('does not remove uncreated events', () => {",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Duplicate Assert,"{'line': 27, 'column': 6, 'index': 804}","  25 |       const scrollParentBounds = getBoundingRect(document.body, { scrollParents: [element] }, 'scrollParent');
  26 |
> 27 |       expect(scrollParentBounds).toHaveLength(4);
     |      ^ Duplicate Assert
  28 |       expect(scrollParentBounds).toEqual(expect.arrayContaining([4, 4, -4, -4]));
  29 |     });
  30 |",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Duplicate Assert,"{'line': 28, 'column': 6, 'index': 854}","  26 |
  27 |       expect(scrollParentBounds).toHaveLength(4);
> 28 |       expect(scrollParentBounds).toEqual(expect.arrayContaining([4, 4, -4, -4]));
     |      ^ Duplicate Assert
  29 |     });
  30 |
  31 |     it('return bounds from current window when constraint is window', () => {",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Duplicate Assert,"{'line': 34, 'column': 6, 'index': 1123}","  32 |       const windowBounds = getBoundingRect(document.body, { scrollParents: [element] }, 'window');
  33 |
> 34 |       expect(windowBounds).toHaveLength(4);
     |      ^ Duplicate Assert
  35 |       expect(windowBounds).toEqual(expect.arrayContaining([0, 0, 1024, 768]));
  36 |     });
  37 |",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Duplicate Assert,"{'line': 35, 'column': 6, 'index': 1167}","  33 |
  34 |       expect(windowBounds).toHaveLength(4);
> 35 |       expect(windowBounds).toEqual(expect.arrayContaining([0, 0, 1024, 768]));
     |      ^ Duplicate Assert
  36 |     });
  37 |
  38 |     it('return bounds from document window when constraint is document', () => {",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Duplicate Assert,"{'line': 42, 'column': 6, 'index': 1485}","  40 |       const windowBounds = getBoundingRect(document.body, { scrollParents: [] }, document);
  41 |
> 42 |       expect(windowBounds).toHaveLength(4);
     |      ^ Duplicate Assert
  43 |       expect(windowBounds).toEqual(expect.arrayContaining([0, 0, 0, 0]));
  44 |     });
  45 |   });",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Duplicate Assert,"{'line': 43, 'column': 6, 'index': 1529}","  41 |
  42 |       expect(windowBounds).toHaveLength(4);
> 43 |       expect(windowBounds).toEqual(expect.arrayContaining([0, 0, 0, 0]));
     |      ^ Duplicate Assert
  44 |     });
  45 |   });
  46 |",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Duplicate Assert,"{'line': 69, 'column': 6, 'index': 2168}","  67 |       });
  68 |
> 69 |       expect(addClasses).toHaveLength(2);
     |      ^ Duplicate Assert
  70 |       expect(addClasses).toEqual(expect.arrayContaining(['', '-top']));
  71 |     });
  72 |     it('adds classes for oob prefix and options classes', () => {",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Duplicate Assert,"{'line': 70, 'column': 6, 'index': 2210}","  68 |
  69 |       expect(addClasses).toHaveLength(2);
> 70 |       expect(addClasses).toEqual(expect.arrayContaining(['', '-top']));
     |      ^ Duplicate Assert
  71 |     });
  72 |     it('adds classes for oob prefix and options classes', () => {
  73 |       oob.push('top');",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Duplicate Assert,"{'line': 79, 'column': 6, 'index': 2498}","  77 |       });
  78 |
> 79 |       expect(addClasses).toHaveLength(2);
     |      ^ Duplicate Assert
  80 |       expect(addClasses).toEqual(expect.arrayContaining(['added', 'added-top']));
  81 |     });
  82 |",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Duplicate Assert,"{'line': 80, 'column': 6, 'index': 2540}","  78 |
  79 |       expect(addClasses).toHaveLength(2);
> 80 |       expect(addClasses).toEqual(expect.arrayContaining(['added', 'added-top']));
     |      ^ Duplicate Assert
  81 |     });
  82 |
  83 |     it('uses extra prefix for outOfBoundsClass', () => {",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Duplicate Assert,"{'line': 90, 'column': 6, 'index': 2843}","  88 |       }, '', 'extra');
  89 |
> 90 |       expect(addClasses).toHaveLength(2);
     |      ^ Duplicate Assert
  91 |       expect(addClasses).toEqual(expect.arrayContaining(['extra', 'extra-top']));
  92 |     });
  93 |   });",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Duplicate Assert,"{'line': 91, 'column': 6, 'index': 2885}","  89 |
  90 |       expect(addClasses).toHaveLength(2);
> 91 |       expect(addClasses).toEqual(expect.arrayContaining(['extra', 'extra-top']));
     |      ^ Duplicate Assert
  92 |     });
  93 |   });
  94 |",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Duplicate Assert,"{'line': 394, 'column': 6, 'index': 15195}","  392 |       const baseClasses = _getAllClasses({}, '', []);
  393 |
> 394 |       expect(baseClasses).toHaveLength(10);
      |      ^ Duplicate Assert
  395 |       expect(baseClasses).toEqual(expect.arrayContaining(['pinned',
  396 |         'out-of-bounds',
  397 |         'pinned-left',",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Duplicate Assert,"{'line': 395, 'column': 6, 'index': 15239}","  393 |
  394 |       expect(baseClasses).toHaveLength(10);
> 395 |       expect(baseClasses).toEqual(expect.arrayContaining(['pinned',
      |      ^ Duplicate Assert
  396 |         'out-of-bounds',
  397 |         'pinned-left',
  398 |         'pinned-top',",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Duplicate Assert,"{'line': 410, 'column': 6, 'index': 15693}","  408 |       const prefixClasses = _getAllClasses({}, 'prefix', []);
  409 |
> 410 |       expect(prefixClasses).toHaveLength(10);
      |      ^ Duplicate Assert
  411 |       expect(prefixClasses).toEqual(expect.arrayContaining([
  412 |         'prefix-pinned',
  413 |         'prefix-out-of-bounds',",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Duplicate Assert,"{'line': 411, 'column': 6, 'index': 15739}","  409 |
  410 |       expect(prefixClasses).toHaveLength(10);
> 411 |       expect(prefixClasses).toEqual(expect.arrayContaining([
      |      ^ Duplicate Assert
  412 |         'prefix-pinned',
  413 |         'prefix-out-of-bounds',
  414 |         'prefix-pinned-left',",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Duplicate Assert,"{'line': 429, 'column': 6, 'index': 16299}","  427 |       }, '', []);
  428 |
> 429 |       expect(replaceClass).toHaveLength(10);
      |      ^ Duplicate Assert
  430 |       expect(replaceClass).toEqual(expect.arrayContaining([
  431 |         'stuck',
  432 |         'out-of-bounds',",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Duplicate Assert,"{'line': 430, 'column': 6, 'index': 16344}","  428 |
  429 |       expect(replaceClass).toHaveLength(10);
> 430 |       expect(replaceClass).toEqual(expect.arrayContaining([
      |      ^ Duplicate Assert
  431 |         'stuck',
  432 |         'out-of-bounds',
  433 |         'stuck-left',",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Duplicate Assert,"{'line': 446, 'column': 6, 'index': 16835}","  444 |       const constraintClasses = _getAllClasses({}, '', [{ outOfBoundsClass: 'constraintOob' }]);
  445 |
> 446 |       expect(constraintClasses).toHaveLength(15);
      |      ^ Duplicate Assert
  447 |       expect(constraintClasses).toContain('constraintOob');
  448 |       expect(constraintClasses).toContain('constraintOob-top');
  449 |     });",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Duplicate Assert,"{'line': 447, 'column': 6, 'index': 16885}","  445 |
  446 |       expect(constraintClasses).toHaveLength(15);
> 447 |       expect(constraintClasses).toContain('constraintOob');
      |      ^ Duplicate Assert
  448 |       expect(constraintClasses).toContain('constraintOob-top');
  449 |     });
  450 |   });",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Duplicate Assert,"{'line': 448, 'column': 6, 'index': 16945}","  446 |       expect(constraintClasses).toHaveLength(15);
  447 |       expect(constraintClasses).toContain('constraintOob');
> 448 |       expect(constraintClasses).toContain('constraintOob-top');
      |      ^ Duplicate Assert
  449 |     });
  450 |   });
  451 | });",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Magic Number,"{'line': 27, 'column': 46, 'index': 844}","  25 |       const scrollParentBounds = getBoundingRect(document.body, { scrollParents: [element] }, 'scrollParent');
  26 |
> 27 |       expect(scrollParentBounds).toHaveLength(4);
     |                                              ^ Magic Number
  28 |       expect(scrollParentBounds).toEqual(expect.arrayContaining([4, 4, -4, -4]));
  29 |     });
  30 |",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Magic Number,"{'line': 34, 'column': 40, 'index': 1157}","  32 |       const windowBounds = getBoundingRect(document.body, { scrollParents: [element] }, 'window');
  33 |
> 34 |       expect(windowBounds).toHaveLength(4);
     |                                        ^ Magic Number
  35 |       expect(windowBounds).toEqual(expect.arrayContaining([0, 0, 1024, 768]));
  36 |     });
  37 |",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Magic Number,"{'line': 42, 'column': 40, 'index': 1519}","  40 |       const windowBounds = getBoundingRect(document.body, { scrollParents: [] }, document);
  41 |
> 42 |       expect(windowBounds).toHaveLength(4);
     |                                        ^ Magic Number
  43 |       expect(windowBounds).toEqual(expect.arrayContaining([0, 0, 0, 0]));
  44 |     });
  45 |   });",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Magic Number,"{'line': 59, 'column': 31, 'index': 1941}","  57 |       _addOutOfBoundsClass(oob, [], [], '', '');
  58 |
> 59 |       expect(oob).toHaveLength(0);
     |                               ^ Magic Number
  60 |     });
  61 |
  62 |     it('does not add a class if oob class option is false', () => {",,
/home/gabriel/Desktop/research/projects/tether/test/unit/constraint.spec.js,Magic Number,"{'line': 69, 'column': 38, 'index': 2200}","  67 |       });
  68 |
> 69 |       expect(addClasses).toHaveLength(2);
     |                                      ^ Magic Number
  70 |       expect(addClasses).toEqual(expect.arrayContaining(['', '-top']));
  71 |     });
  72 |     it('adds classes for oob prefix and options classes', () => {",,
