A (filename),B (test),C (start: ... end: ....)
/home/gabriel/Desktop/research/projects/ncc/test/unit.test.js,"  it(`should generate correct output for ${unitTest}`, async () => { 
    const testDir = `${__dirname}/unit/${unitTest}`;
    const expected = normalizeForWindows(fs.readFileSync(`${testDir}/output${coverage ? '-coverage' : ''}.js`, 'utf8'));
    let expectedSourceMap;
    try {
      expectedSourceMap = normalizeForWindows(fs.readFileSync(`${testDir}/output${coverage ? '-coverage' : ''}.js.map`, 'utf8'));
    } catch (_) {}

    let opts;
    try {
      opts = fs.readFileSync(`${testDir}/opt.json`, 'utf8');
      opts = JSON.parse(opts);
    } catch (_) {}

    // set env variable so tsconfig-paths can find the config
    process.env.TS_NODE_PROJECT = `${testDir}/tsconfig.json`;
    // find the name of the input file (e.g input.ts)
    const inputFile = fs.readdirSync(testDir).find(file => file.includes(""input""));
    await ncc(`${testDir}/${inputFile}`, Object.assign({
      assetBuilds: true,
      transpileOnly: true,
      customEmit (path) {
        if (path.endsWith('test.json'))
          return false;
      },
      externals: {
        'piscina': 'piscina',
        'externaltest': 'externalmapped',
        '/\\w+-regex/': 'regexexternal',
        '/external-replace(/.*)/': 'external-replace/replaced$1'
      }
    }, opts)).then(
      async ({ code, assets, map }) => {
        if (unitTest.startsWith('bundle-subasset')) {
          expect(assets['pi-bridge.js']).toBeDefined();
          expect(assets['pi-bridge.js'].source.toString()).toContain('Math.PI');
        }
        if (unitTest.includes('sourcemap-register')) {
          expect(assets['sourcemap-register.js']).toBeDefined()
          expect(assets['sourcemap-register.js'].source.toString()).toEqual(fs.readFileSync(__dirname + '/../src/sourcemap-register.js.cache.js').toString())
        }
        if (unitTest.includes('minify') && !unitTest.includes('minify-err')) {
          expect(assets['index.js.map']).toBeDefined()
        }
        const actual = normalizeForWindows(code);
        try {
          expect(actual).toBe(expected);
        } catch (e) {
          // useful for updating fixtures
          fs.writeFileSync(`${testDir}/actual.js`, actual);
          throw e;
        }

        if (map) {
          const actualSourceMap = normalizeForWindows(map);
          try {
            expect(actualSourceMap).toBe(expectedSourceMap);
          } catch (e) {
            // useful for updating fixtures
            fs.writeFileSync(`${testDir}/actual.js.map`, actualSourceMap);
            throw e;
          }
        }
      }
    )
  });",start: 15 end: 80
/home/gabriel/Desktop/research/projects/ncc/test/unit.test.js,"  it(`should generate correct output for ${unitTest}`, async () => { 
    const testDir = `${__dirname}/unit/${unitTest}`;
    const expected = normalizeForWindows(fs.readFileSync(`${testDir}/output${coverage ? '-coverage' : ''}.js`, 'utf8'));
    let expectedSourceMap;
    try {
      expectedSourceMap = normalizeForWindows(fs.readFileSync(`${testDir}/output${coverage ? '-coverage' : ''}.js.map`, 'utf8'));
    } catch (_) {}

    let opts;
    try {
      opts = fs.readFileSync(`${testDir}/opt.json`, 'utf8');
      opts = JSON.parse(opts);
    } catch (_) {}

    // set env variable so tsconfig-paths can find the config
    process.env.TS_NODE_PROJECT = `${testDir}/tsconfig.json`;
    // find the name of the input file (e.g input.ts)
    const inputFile = fs.readdirSync(testDir).find(file => file.includes(""input""));
    await ncc(`${testDir}/${inputFile}`, Object.assign({
      assetBuilds: true,
      transpileOnly: true,
      customEmit (path) {
        if (path.endsWith('test.json'))
          return false;
      },
      externals: {
        'piscina': 'piscina',
        'externaltest': 'externalmapped',
        '/\\w+-regex/': 'regexexternal',
        '/external-replace(/.*)/': 'external-replace/replaced$1'
      }
    }, opts)).then(
      async ({ code, assets, map }) => {
        if (unitTest.startsWith('bundle-subasset')) {
          expect(assets['pi-bridge.js']).toBeDefined();
          expect(assets['pi-bridge.js'].source.toString()).toContain('Math.PI');
        }
        if (unitTest.includes('sourcemap-register')) {
          expect(assets['sourcemap-register.js']).toBeDefined()
          expect(assets['sourcemap-register.js'].source.toString()).toEqual(fs.readFileSync(__dirname + '/../src/sourcemap-register.js.cache.js').toString())
        }
        if (unitTest.includes('minify') && !unitTest.includes('minify-err')) {
          expect(assets['index.js.map']).toBeDefined()
        }
        const actual = normalizeForWindows(code);
        try {
          expect(actual).toBe(expected);
        } catch (e) {
          // useful for updating fixtures
          fs.writeFileSync(`${testDir}/actual.js`, actual);
          throw e;
        }

        if (map) {
          const actualSourceMap = normalizeForWindows(map);
          try {
            expect(actualSourceMap).toBe(expectedSourceMap);
          } catch (e) {
            // useful for updating fixtures
            fs.writeFileSync(`${testDir}/actual.js.map`, actualSourceMap);
            throw e;
          }
        }
      }
    )
  });",start: 15 end: 80
/home/gabriel/Desktop/research/projects/ncc/test/integration.test.js,"  it(`should execute ""ncc run ${integrationTest}""`, async () => {
    let expectedStdout;
    try {
      expectedStdout = fs.readFileSync(`${__dirname}/integration/${integrationTest}.stdout`).toString();
    }
    catch (e) {}
    if (global.gc) global.gc();
    const stdout = new StoreStream();
    const stderr = new StoreStream();
    try {
      await nccRun([""run"", ""--no-cache"", `${__dirname}/integration/${integrationTest}`], stdout, stderr);
    }
    catch (e) {
      if (e.silent) {
        let lastErr = stderr.data[stderr.data.length - 1];
        if (lastErr)
          throw new Error(lastErr);
        else
          throw new Error('Process exited with code ' + e.exitCode);
      }
      throw e;
    }
    if (expectedStdout) {
      let stdoutStr = '';
      for (const chunk of stdout.data)
        stdoutStr += chunk.toString();
      expect(stdoutStr.startsWith(expectedStdout));
    }
  });",start: 55 end: 83
/home/gabriel/Desktop/research/projects/ncc/test/watcher.test.js,"it('Should support custom watch API', async () => {
  let buildCnt = 0;
  const buildFile = path.resolve('./test/integration/twilio.js');
  const initialBuildFileContents = fs.readFileSync(buildFile).toString();

  await new Promise((resolve, reject) => {
    const watcher = new CustomWatchFileSystem(function watchStart (files, dirs, missing) {
      expect(files._set.size).toBeGreaterThan(100);
      if (buildCnt < 3) {
        setTimeout(() => {
          // NOTE: We actually have to make the change for the rebuild to happen!
          fs.writeFileSync(buildFile, fs.readFileSync(buildFile).toString() + '\n');
          watcher.triggerChanges([buildFile], []);
        }, 100);
      }
    }, function watchEnd () {
      resolve();
    });

    console.time('First Build');
    const { handler, rebuild, close } = ncc(buildFile, {
      assetBuilds: true,
      watch: watcher
    });
    
    handler(({ err, code, map, assets, permissions }) => {
      if (err) return reject(err);
      buildCnt++;
      if (buildCnt === 1) {
        console.timeEnd('First Build');
      }
      else {
        console.timeEnd('Watched Build');
      }
      if (buildCnt === 3) {
        close();
        fs.writeFileSync(buildFile, fs.readFileSync(buildFile).toString().slice(0, -2));
      }
    });
    rebuild(() => {
      console.time('Watched Build');
    });
  });

  fs.writeFileSync(buildFile, initialBuildFileContents);
});",start: 112 end: 157
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/__tests__/error-handler.test.js,"      it('throws an error', async () => {
        expect(() => {
          process.on = jest.fn().mockImplementation((event, error) => {
            if (event === 'unhandledRejection') {
              error({
                message: `something-unhandled`,
                code: 2000
              });
            }
          });

          const { runErrorHandler } = require('../error-handler');
          runErrorHandler(mockLogger);
        }).toThrow(`something-unhandled`);
      });",start: 204 end: 218
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/__tests__/error-handler.test.js,"      it('does not throws an error', async () => {
        expect(() => {
          process.on = jest.fn().mockImplementation((event, error) => {
            if (event === 'uncaughtException') {
              error({
                message: `redlock:lock-XRPBUSD`,
                code: 500
              });
            }
          });

          const { runErrorHandler } = require('../error-handler');
          runErrorHandler(mockLogger);
        }).not.toThrow();
      });",start: 222 end: 236
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/local-tunnel/__tests__/configure.test.js,"  beforeEach(() => {
    jest.clearAllMocks().resetModules();

    jest.useFakeTimers();

    const { logger, cache, slack } = require('../../../helpers');

    mockLogger = logger;
    mockCache = cache;
    mockSlack = slack;

    config = require('config');
    jest.mock('config');

    config.get = jest.fn(key => {
      switch (key) {
        case 'mode':
          return 'test';
        case 'localTunnel.enabled':
          return true;
        case 'localTunnel.subdomain':
          return 'my-domain';
        case 'featureToggle.notifyDebug':
          return false;
        default:
          return `value-${key}`;
      }
    });

    mockSlack.sendMessage = jest.fn();

    mockCache.hset = jest.fn().mockResolvedValue(true);
    mockCache.hdel = jest.fn().mockResolvedValue(true);

    mockLocalTunnelOn = jest.fn().mockImplementation((_event, _cb) => {});
  });",start: 13 end: 48
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/local-tunnel/__tests__/configure.test.js,"      beforeEach(async () => {
        config.get = jest.fn(key => {
          switch (key) {
            case 'mode':
              return 'test';
            case 'localTunnel.enabled':
              return true;
            case 'localTunnel.subdomain':
              return 'my-domain';
            case 'featureToggle.notifyDebug':
              return true;
            default:
              return `value-${key}`;
          }
        });

        mockCache.hget = jest.fn().mockImplementation((key, field) => {
          if (key === 'trailing-trade-common' && field === 'local-tunnel-url') {
            return 'old-domain.loca.lt';
          }

          return '';
        });

        mockLocalTunnelOn = jest.fn().mockImplementation((_event, _cb) => {});

        jest.mock('localtunnel', () =>
          jest.fn().mockImplementation(() => ({
            url: 'old-domain.loca.lt',
            on: mockLocalTunnelOn
          }))
        );

        localTunnel = require('localtunnel');

        const { configureLocalTunnel } = require('../configure');

        await configureLocalTunnel(mockLogger);

        // 120
        jest.advanceTimersByTime(60 * 60 * 1000);
      });",start: 201 end: 242
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/local-tunnel/__tests__/configure.test.js,"    beforeEach(async () => {
      mockCache.hget = jest.fn().mockImplementation((key, field) => {
        if (key === 'trailing-trade-common' && field === 'local-tunnel-url') {
          return 'old-domain.loca.lt';
        }

        return '';
      });

      mockLocalTunnelOn = jest.fn().mockImplementation((_event, _cb) => {});

      jest.mock('localtunnel', () =>
        jest.fn().mockImplementation(() => ({
          url: 'my-domain.loca.lt',
          on: mockLocalTunnelOn
        }))
      );

      localTunnel = require('localtunnel');

      const { configureLocalTunnel } = require('../configure');

      await configureLocalTunnel(mockLogger);

      // 120
      jest.advanceTimersByTime(60 * 60 * 1000);
    });",start: 273 end: 299
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/local-tunnel/__tests__/configure.test.js,"    beforeEach(async () => {
      mockCache.hget = jest.fn().mockImplementation((key, field) => {
        if (key === 'trailing-trade-common' && field === 'local-tunnel-url') {
          return 'old-domain.loca.lt';
        }

        return '';
      });

      jest.mock('localtunnel', () =>
        jest.fn().mockImplementation(() => ({
          url: 'my-domain.loca.lt',
          on: mockLocalTunnelOn
        }))
      );

      localTunnel = require('localtunnel');

      const { configureLocalTunnel } = require('../configure');

      await configureLocalTunnel(mockLogger);

      mockLocalTunnelOn = jest.fn().mockImplementation((_event, _cb) => {});

      jest.mock('localtunnel', () =>
        jest.fn().mockImplementation(() => {
          throw new Error('something happened');
        })
      );

      // 120
      jest.advanceTimersByTime(60 * 60 * 1000);
    });",start: 329 end: 361
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/webserver/handlers/__tests__/grid-trade-logs-export.test.js,"      it('keeps 10 logs in the folder', () => {
        const files = fs.readdirSync(fileFolder);
        expect(files.length).toBe(10);
      });",start: 199 end: 202
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/__tests__/server-binance.test.js,"      it('triggers refreshCandles', () => {
        expect(mockMongo.deleteAll).toHaveBeenCalledWith(
          logger,
          'trailing-trade-candles',
          {}
        );
        expect(mockMongo.deleteAll).toHaveBeenCalledWith(
          logger,
          'trailing-trade-ath-candles',
          {}
        );
      });",start: 188 end: 199
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/__tests__/server-binance.test.js,"      it('triggers refreshCandles', () => {
        expect(mockMongo.deleteAll).toHaveBeenCalledWith(
          logger,
          'trailing-trade-candles',
          {}
        );
        expect(mockMongo.deleteAll).toHaveBeenCalledWith(
          logger,
          'trailing-trade-ath-candles',
          {}
        );
      });",start: 188 end: 199
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/__tests__/server-binance.test.js,"    it('triggers refreshCandles', () => {
      expect(mockMongo.deleteAll).toHaveBeenCalledWith(
        logger,
        'trailing-trade-candles',
        {}
      );
      expect(mockMongo.deleteAll).toHaveBeenCalledWith(
        logger,
        'trailing-trade-ath-candles',
        {}
      );
    });",start: 690 end: 701
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/__tests__/server-binance.test.js,"    it('triggers refreshCandles', () => {
      expect(mockMongo.deleteAll).toHaveBeenCalledWith(
        logger,
        'trailing-trade-candles',
        {}
      );
      expect(mockMongo.deleteAll).toHaveBeenCalledWith(
        logger,
        'trailing-trade-ath-candles',
        {}
      );
    });",start: 690 end: 701
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/__tests__/server-binance.test.js,"      it('triggers cache.hset', () => {
        expect(mockCache.hset).toHaveBeenCalledWith(
          'trailing-trade-streams',
          `count`,
          1
        );
      });",start: 226 end: 232
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/__tests__/server-binance.test.js,"    it('triggers cache.hset', () => {
      expect(mockCache.hset).toHaveBeenCalledWith(
        'trailing-trade-streams',
        `count`,
        1
      );
    });",start: 735 end: 741
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/__tests__/server-frontend.test.js,"        it('triggers status', () => {
          expect(mockRateLimiterMiddlewareResStatus).toHaveBeenCalledWith(403);
        });",start: 313 end: 315
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/binance/__tests__/orders.test.js,"      it('triggers clearInterval', () => {
        expect(spyOnClearInterval).toHaveBeenCalledWith(33);
      });",start: 136 end: 138
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/binance/__tests__/user.test.js,"      it('triggers updateAccountInfo', () => {
        expect(mockUpdateAccountInfo).toHaveBeenCalledWith(
          loggerMock,
          [{ asset: 'ADA', free: '0.00000000', locked: '13.82000000' }],
          1625585531721
        );
      });",start: 138 end: 144
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/cronjob/trailingTradeHelper/__tests__/common.test.js,"      it('triggers slack.sendMessage', () => {
        expect(slackMock.sendMessage).toHaveBeenCalledWith(
          expect.stringContaining('BTCUSDT'),
          {
            apiLimit: 0,
            symbol: 'BTCUSDT'
          }
        );

        expect(slackMock.sendMessage).toHaveBeenCalledWith(
          expect.stringContaining(
            'The bot queued to trigger the grid trade for buying'
          ),
          {
            apiLimit: 0,
            symbol: 'BTCUSDT'
          }
        );
      });",start: 2468 end: 2486
/home/gabriel/Desktop/research/projects/prettier/tests/format/js/tab-width/nested-functions.spec.js,const c = () => {};,start: 1 end: 1
/home/gabriel/Desktop/research/projects/prettier/tests/format/js/test-declarations/test_declarations.js,"xdescribe(""does something really long and complicated so I have to write a very long name for the describe block"", () => {});",start: 54 end: 54
/home/gabriel/Desktop/research/projects/prettier/tests/format/js/test-declarations/test_declarations.js,"fdescribe(""does something really long and complicated so I have to write a very long name for the describe block"", () => {});",start: 56 end: 56
/home/gabriel/Desktop/research/projects/prettier/tests/format/js/test-declarations/test_declarations.js,"describe.only(`does something really long and complicated so I have to write a very long name for the test`, () => {});",start: 58 end: 58
/home/gabriel/Desktop/research/projects/prettier/tests/format/js/test-declarations/test_declarations.js,"describe.skip(`does something really long and complicated so I have to write a very long name for the test`, () => {});",start: 60 end: 60
/home/gabriel/Desktop/research/projects/prettier/scripts/release/tests/publish-to-npm.test.js,"    it(""returns URL for patch releasing"", () => {
      const result = getReleaseUrl(""2.3.1"", ""2.3.0"");
      assert.equal(
        result,
        getExpectedReleaseUrl({
          tag: ""2.3.1"",
          title: ""2.3.1"",
          body: ""🔗 [Changelog](https://github.com/prettier/prettier/blob/main/CHANGELOG.md#231)"",
        }),
      );
    });",start: 20 end: 30
/home/gabriel/Desktop/research/projects/prettier/scripts/release/tests/publish-to-npm.test.js,"    it(""returns URL for minor releasing"", () => {
      const result = getReleaseUrl(""2.4.0"", ""2.3.0"");
      assert.equal(
        result,
        getExpectedReleaseUrl({
          tag: ""2.4.0"",
          title: ""2.4.0"",
          body: [
            ""[diff](https://github.com/prettier/prettier/compare/2.3.0...2.4.0)"",
            `🔗 [Release note](https://prettier.io/blog/${getDateParts().join(
              ""/"",
            )}/2.4.0)`,
          ].join(""\n\n""),
        }),
      );
    });",start: 32 end: 47
/home/gabriel/Desktop/research/projects/prettier/scripts/release/tests/publish-to-npm.test.js,"    it(""returns URL for major releasing"", () => {
      const result = getReleaseUrl(""2.3.0"", ""2.2.0"");
      assert.equal(
        result,
        getExpectedReleaseUrl({
          tag: ""2.3.0"",
          title: ""2.3.0"",
          body: [
            ""[diff](https://github.com/prettier/prettier/compare/2.2.0...2.3.0)"",
            `🔗 [Release note](https://prettier.io/blog/${getDateParts().join(
              ""/"",
            )}/2.3.0)`,
          ].join(""\n\n""),
        }),
      );
    });",start: 49 end: 64
/home/gabriel/Desktop/research/projects/prettier/scripts/release/tests/version-check.test.js,"  it(""returns true for existing version"", async () => {
    assert.ok(await isVersionReleased(""1.0.0""));
  });",start: 6 end: 8
/home/gabriel/Desktop/research/projects/prettier/scripts/release/tests/version-check.test.js,"  it(""rejects for non-existing version"", async () => {
    await assert.rejects(() => isVersionReleased(""999.0.0""), {
      message: ""prettier@999.0.0 doesn't exit."",
    });
  });",start: 9 end: 13
/home/gabriel/Desktop/research/projects/react-beautiful-dnd/test/unit/dev-warning.spec.js,No test method found containing the specified line.,
/home/gabriel/Desktop/research/projects/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,"  it('should not fire a scroll if the value has not changed since the previous call', () => {
    // this can happen if you scroll backward and forward super quick
    const marshal: DimensionMarshal = getMarshalStub();
    const registry: Registry = createRegistry();
    const registerSpy = jest.spyOn(registry.droppable, 'register');
    const wrapper = mount(
      <WithAppContext marshal={marshal} registry={registry}>
        <ScrollableItem />
      </WithAppContext>,
    );
    const container: ?HTMLElement = wrapper
      .find('.scroll-container')
      .getDOMNode();
    invariant(container);
    // tell the droppable to watch for scrolling
    const callbacks: DroppableCallbacks =
      registerSpy.mock.calls[0][0].callbacks;

    // watch scroll will only be called after the dimension is requested
    callbacks.getDimensionAndWatchScroll(preset.windowScroll, immediate);

    // first event
    scroll(container, { x: 500, y: 1000 });
    expect(marshal.updateDroppableScroll).toHaveBeenCalledTimes(1);
    expect(marshal.updateDroppableScroll).toHaveBeenCalledWith(
      preset.home.descriptor.id,
      { x: 500, y: 1000 },
    );
    // $ExpectError
    marshal.updateDroppableScroll.mockReset();

    // second event - scroll to same spot
    scroll(container, { x: 500, y: 1000 });
    expect(marshal.updateDroppableScroll).not.toHaveBeenCalled();

    // third event - new value
    scroll(container, { x: 500, y: 1001 });
    expect(marshal.updateDroppableScroll).toHaveBeenCalledWith(
      preset.home.descriptor.id,
      { x: 500, y: 1001 },
    );
  });",start: 59 end: 100
